accession,contig
ERR2241907,Contig_77000_5.14326
ERR2241907,Contig_96755_5.43578
ERR2241907,Contig_67359_5.56258
ERR2241907,Contig_104783_5.45215
ERR2241907,Contig_29667_4.87074
ERR2241909,Contig_24872_22.7452
ERR2241909,Contig_52146_10.8182
ERR2241909,Contig_110401_20.4089
ERR2241909,Contig_66614_22.5105
ERR2241911,Contig_128332_3.55785
ERR2241911,Contig_99520_4.50177
ERR2241913,Contig_102776_164.831
ERR2241913,Contig_70173_129.834
ERR2241913,Contig_49108_125.64
ERR2241913,Contig_105821_114.446
ERR2241913,Contig_70362_169.947
ERR2241919,Contig_56149_3.62092
ERR2241919,Contig_43886_4.27176
ERR2241919,Contig_22068_3.01282
ERR2241921,Contig_85010_248.274
ERR2241921,Contig_93383_15.8215
ERR2241921,Contig_16927_357.052
ERR2241921,Contig_111485_225.14
ERR2241921,Contig_90405_228.66
ERR2241923,Contig_124868_41.0799
ERR2241923,Contig_88663_36.5662
ERR2241923,Contig_121851_34.678
ERR2241923,Contig_19018_41.1006
ERR2241923,Contig_81147_38.0157
ERR2241923,Contig_56157_42.6627
ERR2241927,Contig_157134_66.7725
ERR2241927,Contig_15643_59.3659
ERR2241927,Contig_147760_63.2387
ERR2241927,Contig_50680_57.2456
ERR2241929,Contig_130057_22.3692
ERR2241929,Contig_56056_185.167
ERR2241929,Contig_167468_83.9974
ERR2241929,Contig_83344_236.39
ERR2241929,Contig_72375_279.297
ERR2241929,Contig_70448_193.023
ERR2241929,Contig_122731_207.28
ERR2241929,Contig_18925_213.362
ERR2241929,Contig_96703_84.477
ERR2241931,Contig_99272_5.78544
ERR2241931,Contig_29200_13.1229
ERR2241931,Contig_33032_10.6752
ERR2241931,Contig_94959_7.2629
ERR2241931,Contig_72782_13.4587
ERR2241931,Contig_20535_10.4823
ERR2241931,Contig_95783_9.24632
ERR2241933,Contig_261425_3.79381
ERR2241933,Contig_172374_6.83588
ERR2241933,Contig_230929_6.93054
ERR2241933,Contig_308893_8.96137
ERR2241933,Contig_312276_10.0996
ERR2241935,Contig_160318_21.5791
ERR2241935,Contig_158135_21.5629
ERR2241935,Contig_252685_16.1756
ERR2241935,Contig_251484_25.372
ERR2241937,Contig_83103_7.00388
ERR2241937,Contig_128541_3.7821
ERR2241939,Contig_158356_3.43644
ERR2241941,Contig_236917_344.836
ERR2241941,Contig_34051_169.525
ERR2241941,Contig_198105_321.454
ERR2241941,Contig_188199_156.391
ERR2241941,Contig_147740_55.3975
ERR2241943,Contig_111681_10.9043
ERR2241943,Contig_18812_4.88442
ERR2241943,Contig_8502_9.07037
ERR2241943,Contig_120933_10.1647
ERR2241943,Contig_19580_8.3284
ERR2241943,Contig_75809_7.3299
ERR2241943,Contig_227694_6.53043
ERR2241943,Contig_150017_4.27083
ERR2241945,Contig_56819_777.257
ERR2241945,Contig_180401_731.82
ERR2241954,Contig_101492_54.6522
ERR2241954,Contig_80565_42.4868
ERR2241954,Contig_133974_46.8651
ERR2241955,Contig_16733_7.53176
ERR2241955,Contig_83938_9.68872
ERR2241955,Contig_120327_6.93586
ERR2241955,Contig_18218_7.63235
ERR2241955,Contig_96201_5.98585
ERR2241955,Contig_56593_4.34989
ERR2241955,Contig_92383_6.24138
ERR2241955,Contig_145460_26.1777
ERR2241955,Contig_1232_7.53863
ERR2241955,Contig_144718_7.17123
ERR2241957,Contig_60439_7.61872
ERR2241978,Contig_81109_37.8355
ERR2241978,Contig_45611_33.3443
ERR2241978,Contig_92457_31.8747
ERR2241978,Contig_80128_65.3709
ERR2241978,Contig_81110_37.1798
ERR2241978,Contig_21817_49.7859
ERR2241978,Contig_52810_34.2186
ERR2241982,Contig_116822_5.683
ERR2241982,Contig_161522_6.39173
ERR2241982,Contig_249481_3.66165
ERR2241982,Contig_168728_3.6831
ERR2241982,Contig_182422_4.2008
ERR2241983,Contig_278534_6.17512
ERR2241983,Contig_303610_4.48966
ERR2241983,Contig_278836_3.60374
ERR2241983,Contig_242088_2.43387
ERR2241983,Contig_277535_4.86622
ERR2241983,Contig_52313_10.3014
ERR2245493,Contig_7668_3.20961
ERR2245494,Contig_56203_4.48848
ERR2245494,Contig_41888_2.58824
ERR2245494,Contig_78287_3.50209
ERR2718556,Contig_6532_3.11254
ERR2718556,Contig_19291_4.70674
ERR2718557,Contig_3680_7.18085
ERR2718557,Contig_18170_3
ERR2718557,Contig_24801_4.35122
ERR2737423,Contig_85578_7.18421
ERR2737423,Contig_50415_9.05605
ERR2737423,Contig_1133_9.70201
ERR2737423,Contig_12922_5.13978
ERR2737423,Contig_88365_7.01855
ERR2737423,Contig_32411_6.71371
ERR2737423,Contig_46958_6.18487
ERR2737423,Contig_75938_6.79442
ERR2737423,Contig_103617_9.44983
ERR2737424,Contig_50060_6.05292
ERR2737424,Contig_13043_2.56398
ERR2737424,Contig_7381_3.72754
ERR2737424,Contig_32427_10.6172
ERR2737424,Contig_85907_3.07229
ERR2737424,Contig_62602_8.26211
ERR2737424,Contig_28133_4.51754
ERR2738111,Contig_31299_2.53425
ERR2738112,Contig_110371_2.56146
ERR2789512,Contig_86453_2.64904
ERR2789515,Contig_53271_8.23843
ERR2789515,Contig_46529_12.8456
ERR2789515,Contig_20297_8.08007
ERR414235,Contig_133523_6.89379
ERR414235,Contig_164491_6.81294
ERR414235,Contig_40494_6.49205
ERR414235,Contig_64722_7.55208
ERR414235,Contig_120548_5.36861
ERR414485,Contig_93717_6.88679
ERR414485,Contig_32922_6.92176
ERR414485,Contig_20863_6.82788
ERR525903,Contig_98690_34.5496
ERR525959,Contig_162004_19.0716
ERR525959,Contig_157076_19.0973
ERR525959,Contig_86092_14.6523
ERR525959,Contig_166886_11.7185
ERR525959,Contig_62399_19.3394
ERR525959,Contig_114829_16.4361
ERR589767,Contig_63177_4.68512
ERR589767,Contig_52644_5.20168
ERR688638,Contig_938_41.8348
ERR866573,Contig_3082_8.65035
ERR866573,Contig_4987_7.04063
ERR866573,Contig_3689_7.12784
ERR866576,Contig_1718_7.58015
ERR866576,Contig_633_8.55117
ERR878227,Contig_114092_11.5768
ERR878227,Contig_51445_5.85174
ERR878227,Contig_123280_6.90208
ERR878227,Contig_37647_6
ERR878227,Contig_52855_12.5935
SRR1162492,Contig_2608_9.92758
SRR1166387,Contig_16315_9.13318
SRR1166387,Contig_24549_10.9423
SRR1166387,Contig_20184_10.7554
SRR1166568,Contig_4833_10.1783
SRR1211456,Contig_14597_4.87422
SRR1211456,Contig_17800_4.62389
SRR1211456,Contig_15333_5.36364
SRR1212148,Contig_18385_5.16667
SRR1212148,Contig_7961_3.66351
SRR1212233,Contig_6098_3.73793
SRR1212776,Contig_14992_3.64679
SRR1212776,Contig_2291_4.83562
SRR1212776,Contig_11257_4.44573
SRR1214532,Contig_2640_2.85882
SRR1214532,Contig_17005_4.23355
SRR1214532,Contig_11394_3.85649
SRR1214976,Contig_7506_4.53723
SRR1214976,Contig_3350_3.92056
SRR1214976,Contig_16692_2.83588
SRR1215603,Contig_5999_4.63922
SRR1215869,Contig_18937_4.79167
SRR1215869,Contig_11697_5.44813
SRR1215954,Contig_5123_3.23232
SRR1215954,Contig_14672_3.69608
SRR1215954,Contig_694_5.00309
SRR1215959,Contig_8_4.00448
SRR1216459,Contig_20106_3.67462
SRR1216459,Contig_8810_4.50475
SRR1219488,Contig_15923_4.36653
SRR1219488,Contig_19392_5.30958
SRR1952284,Contig_8865_10.9025
SRR2226875,Contig_8722_3.74123
SRR2226875,Contig_18372_3.06926
SRR2228219,Contig_17773_3.85306
SRR2228219,Contig_5219_4.21136
SRR2228219,Contig_27484_2.67172
SRR2228422,Contig_19535_5.58088
SRR2228518,Contig_6400_4.22535
SRR2228518,Contig_26608_5.36782
SRR2228543,Contig_8058_3.51628
SRR2228738,Contig_18783_3.58993
SRR2228738,Contig_5529_4.23108
SRR2228738,Contig_28979_4.68354
SRR2244426,Contig_16249_4.51709
SRR2244426,Contig_17980_3.77088
SRR2565818,Contig_56385_2.84513
SRR2565818,Contig_75353_3.99459
SRR2912335,Contig_30916_6.18085
SRR2912335,Contig_22236_4.59487
SRR2912335,Contig_11949_13.0168
SRR2912335,Contig_27515_9.57934
SRR2912335,Contig_8979_9.36384
SRR2912335,Contig_532_16.7656
SRR2912335,Contig_3945_5.93868
SRR2912335,Contig_20016_13.3333
SRR2937621,Contig_30783_7.80265
SRR2937621,Contig_7838_5.89304
SRR2937621,Contig_46722_6.58629
SRR2937621,Contig_50516_9.20899
SRR2937621,Contig_24515_8.31733
SRR2937622,Contig_831_3.752
SRR2938187,Contig_19975_7.6173
SRR2938187,Contig_29440_5.54341
SRR2938187,Contig_13765_7.93007
SRR2938187,Contig_46732_5.66105
SRR2938188,Contig_41177_6.01005
SRR2938188,Contig_19495_4.61842
SRR2938188,Contig_14655_4.52351
SRR2938221,Contig_42526_6.26555
SRR2938221,Contig_625_7.47005
SRR2938232,Contig_3791_16.4618
SRR2938232,Contig_19336_16.9452
SRR2938232,Contig_12796_6.29577
SRR2938506,Contig_14938_4.89496
SRR2938517,Contig_5585_3.9708
SRR2938517,Contig_5888_4.03704
SRR2938517,Contig_4635_4.51294
SRR2938517,Contig_1419_4.72026
SRR3181117,Contig_111569_8.9898
SRR3181117,Contig_4686_9.33553
SRR3181117,Contig_130598_9.36735
SRR3181117,Contig_104152_14.6275
SRR3181117,Contig_10560_11.7721
SRR3181127,Contig_115364_7.29536
SRR3181127,Contig_14653_7.18301
SRR3181127,Contig_25116_7.06928
SRR3181127,Contig_19200_6.86179
SRR3181127,Contig_23530_9.30055
SRR3181127,Contig_74447_9.56542
SRR3181165,Contig_127179_4.02049
SRR3181165,Contig_190401_3.21719
SRR3208460,Contig_353_5.73089
SRR3208460,Contig_4257_4.93168
SRR3208460,Contig_2923_4.41135
SRR3208460,Contig_9034_3.44932
SRR3208460,Contig_10114_3.55155
SRR3208460,Contig_8262_6.92491
SRR3208461,Contig_7237_4.10082
SRR4022189,Contig_57456_36.8068
SRR413571,Contig_42993_90.725
SRR413586,Contig_27465_5.55119
SRR4305420,Contig_12707_4.25779
SRR4305513,Contig_17748_5.16828
SRR4305513,Contig_2868_4.72614
SRR4305513,Contig_10092_8.03627
SRR4305513,Contig_8758_5.31183
SRR4305513,Contig_6681_6.77368
SRR4305513,Contig_15157_9.61124
SRR4408137,Contig_33581_5.5625
SRR4408137,Contig_9225_9.20795
SRR4408137,Contig_8439_7.37049
SRR4425679,Contig_38943_14.622
SRR4425679,Contig_97982_18.8768
SRR4425686,Contig_127309_7.166
SRR4425686,Contig_185997_29.9776
SRR4425686,Contig_318947_37.5542
SRR4425686,Contig_276837_6.90991
SRR4425704,Contig_83259_17.7135
SRR4425704,Contig_111269_16.0667
SRR4425704,Contig_155756_21.5287
SRR4425704,Contig_63068_4.42157
