accession,contig
SRR5040900,Contig_10146_74.2821
SRR5040900,Contig_8412_46.9843
SRR5040900,Contig_8860_6.29268
SRR5040900,Contig_7283_6.0514
SRR5040900,Contig_10650_38.6877
SRR5040900,Contig_4515_28.2295
SRR5040916,Contig_48668_7.47869
SRR5040916,Contig_49775_6.09744
SRR5050591,Contig_15047_45.6966
SRR5050591,Contig_8636_38.936
SRR5050591,Contig_4220_43.379
SRR5050592,Contig_13724_39.7304
SRR5050592,Contig_8724_42.3438
SRR5115394,Contig_403_2.83368
SRR5115394,Contig_49584_3.43164
SRR5115410,Contig_84431_9.23723
SRR5115410,Contig_26848_8.48549
SRR5115410,Contig_81353_9.81211
SRR5115410,Contig_93154_10.3164
SRR5190270,Contig_20631_3.58824
SRR5190270,Contig_101194_4.41568
SRR5190270,Contig_17424_4.08352
SRR5239737,Contig_31539_4.4
SRR5239737,Contig_13203_6.86685
SRR5239737,Contig_19295_68.5357
SRR5239738,Contig_18741_19.1478
SRR5239746,Contig_118856_13.3205
SRR5239746,Contig_121911_11.6163
SRR5239746,Contig_73964_16.4765
SRR5239746,Contig_3873_11.3392
SRR5239746,Contig_129987_8.71922
SRR5239746,Contig_15179_9.50393
SRR5239746,Contig_99203_23.1002
SRR5239747,Contig_5649_4.64214
SRR5239747,Contig_155314_5.03103
SRR5280757,Contig_105133_8.81907
SRR5298198,Contig_39268_49.2303
SRR5298217,Contig_4952_4.19726
SRR5298217,Contig_31060_3.14286
SRR5431714,Contig_383_32.665
SRR5431715,NC_000929.1_5
SRR5431715,NC_027382.1_2
SRR5431716,NC_027382.1_2
SRR5431717,Contig_2300_57.3109
SRR5431717,Contig_2996_66.0334
SRR5431717,Contig_2051_57.983
SRR5431717,Contig_707_57.6484
SRR5431717,Contig_1355_27.4966
SRR5431717,Contig_1995_52.9829
SRR5431717,Contig_1452_33.5247
SRR5630623,Contig_8517_3.34926
SRR5630623,Contig_33120_7.85866
SRR5630640,Contig_69704_9.44241
SRR5630641,Contig_51497_4.92718
SRR5630641,Contig_11559_4.44976
SRR5630641,Contig_47200_3.50643
SRR5630641,Contig_10918_6.14765
SRR5630641,Contig_56929_20.5501
SRR5630641,Contig_18597_4.84191
SRR5644066,Contig_20673_5.17259
SRR5644066,Contig_5925_8.09852
SRR5678987,Contig_149311_11.6358
SRR5678987,Contig_87322_8.61847
SRR5678987,Contig_221216_7.95178
SRR5678987,Contig_57832_7.86047
SRR5678987,Contig_166307_10.8739
SRR5678987,Contig_168523_5.55774
SRR5678987,Contig_188020_5.51622
SRR5678987,Contig_10367_7.01348
SRR5678987,Contig_128022_9.59459
SRR5679025,Contig_44565_10.9205
SRR5679025,Contig_77927_8.27387
SRR5679025,Contig_70922_10.5818
SRR5813251,Contig_117447_3.15508
SRR5813251,Contig_40600_4.00262
SRR5813379,Contig_40233_4.4949
SRR5813380,Contig_118670_5.40107
SRR5831607,Contig_14828_7.59986
SRR5831607,Contig_8233_6.93076
SRR5831607,Contig_8241_9.25872
SRR5831607,Contig_13226_6.16452
SRR5831607,Contig_8392_7.33019
SRR5950493,Contig_7024_4.63033
SRR5950493,Contig_4748_4.47034
SRR5950493,Contig_12490_8.21395
SRR5950565,Contig_271_18.65
SRR5950681,Contig_44353_32.9688
SRR5950681,Contig_7281_27.4654
SRR5950681,Contig_12649_30.3469
SRR5950681,Contig_49560_28.9076
SRR5950681,Contig_22001_34.8288
SRR5950681,Contig_43947_30.4963
SRR5950681,Contig_45527_31.8272
SRR5950776,Contig_1967_3.58945
SRR5950776,Contig_8606_6.04258
SRR5950776,Contig_4701_5.81744
SRR5950776,Contig_7467_3.72052
SRR5950776,Contig_5410_6.76923
SRR5950776,Contig_4073_5.37667
SRR5950776,Contig_7456_7.49004
SRR6030316,Contig_24852_4.82047
SRR6030316,Contig_11806_5.99757
SRR6030316,Contig_24600_4.17588
SRR6030316,Contig_3430_5.3489
SRR6030316,Contig_13574_3.4
SRR6030319,Contig_2400_3.61574
SRR6030319,Contig_16081_2.95669
SRR6030319,Contig_34659_3.12637
SRR6030319,Contig_16907_2.05333
SRR6030347,Contig_4674_4.50817
SRR6030347,Contig_20738_5.50532
SRR6030347,Contig_24439_4.07692
SRR6030379,Contig_5334_4.95487
SRR6030379,Contig_9817_6.08744
SRR6197347,Contig_180_4.17706
SRR6448465,Contig_135539_6.27125
SRR6448465,Contig_80192_4.54143
SRR6448465,Contig_85680_4.61042
SRR6448465,Contig_11287_4.26879
SRR6448465,Contig_55982_4.8674
SRR6448465,Contig_102167_4.79551
SRR6460875,Contig_92748_4.31472
SRR6460881,Contig_165646_6.42935
SRR6460881,Contig_53531_3.92135
SRR6460881,Contig_111308_3.9542
SRR6460881,Contig_50964_4.51713
SRR6915201,Contig_39343_3.09962
SRR6915222,Contig_14905_4.20972
SRR6915222,Contig_32685_5.42891
SRR6915222,Contig_12176_7.29358
SRR6915222,Contig_22708_4.48533
SRR6915222,Contig_1617_4.91497
SRR6915222,Contig_5141_4.67008
SRR6915222,Contig_56307_8.11616
SRR6915222,Contig_63557_6.47471
SRR6915222,Contig_39542_3.83193
SRR6915222,Contig_15688_6.06422
SRR6915222,Contig_6105_4.82381
SRR7039241,Contig_20524_4.89852
SRR7039241,Contig_180711_4.70925
SRR7039241,Contig_164892_4.15814
SRR7039241,Contig_98042_3.06647
SRR7039241,Contig_215400_5.05556
SRR7039241,Contig_69561_6.35294
SRR7039241,Contig_106558_4.80713
SRR7039241,Contig_165872_3.77914
SRR7039241,Contig_201034_4
SRR7039241,Contig_167009_6.80091
SRR7039253,Contig_326993_61.0133
SRR7039253,Contig_36978_57.8367
SRR7039253,Contig_226484_67.5006
SRR7039253,Contig_324520_49.2047
SRR7039253,Contig_315692_61.059
SRR7039253,Contig_223636_72.102
SRR7039253,Contig_261341_64.8163
SRR7039253,Contig_305573_64.6048
SRR7039253,Contig_178810_54.3322
SRR7039253,Contig_247170_62.5415
SRR7182063,Contig_60846_5.7646
SRR7217672,Contig_40649_10.0487
SRR7217672,Contig_990_8.63566
SRR7217672,Contig_9471_11.9537
SRR7217672,Contig_16845_4.88543
SRR7217734,Contig_42985_119.16
SRR7217734,Contig_44060_121.613
SRR7217781,Contig_32695_3.94545
SRR7217781,Contig_10461_3
SRR7217781,Contig_19463_5.15038
SRR7280946,Contig_52242_3.92704
SRR7280946,Contig_12534_4.85052
SRR7280946,Contig_98433_5.70899
SRR7496557,Contig_2237_6.34476
SRR7496557,Contig_1577_5.04715
SRR7892434,Contig_1085_11.2736
SRR918093,Contig_444_7.25506
SRR918093,Contig_823_30.5483
SRR918093,Contig_837_34.3436
SRR918093,Contig_966_33.153
SRR918093,Contig_781_25.6976
SRR918137,Contig_209_69.3217
SRR918137,Contig_81_35.5928
SRR918137,Contig_145_73.9949
SRR918137,Contig_186_73.4748
SRR918137,Contig_113_39.2122
SRR918173,Contig_1136_29.5095
SRR918173,Contig_356_9.51515
SRR918195,Contig_177_31.0203
SRR918195,Contig_420_13.4879
SRR918195,Contig_406_14.9088
SRR918211,Contig_419_30.253
SRR918211,Contig_439_13.4441
SRR918261,Contig_47_64.0528
SRR918261,Contig_324_73.5728
SRR918261,Contig_113_38.3866
SRR918261,Contig_79_35.6189
SRR918261,Contig_317_74.3856
SRR918280,Contig_113_40.5668
SRR918280,Contig_36_67.1459
SRR918280,Contig_83_30.8241
SRR918305,Contig_484_14.7241
SRR918305,Contig_1325_34.4792
SRR918305,Contig_984_12.865
SRR918305,Contig_1093_33.5176
SRR918305,Contig_1115_38.8825
SRR918332,Contig_192_28.5896
SRR918332,Contig_394_70.3528
SRR918332,Contig_568_79.0841
SRR918332,Contig_242_31.7273
SRR918333,Contig_1031_28.7829
SRR918333,Contig_571_17.5873
SRR918333,Contig_334_32.3575
SRR918333,Contig_367_10.6768
SRR918431,Contig_80_36.4235
SRR918431,Contig_115_35.9767
SRR918431,Contig_333_82.8214
SRR918431,Contig_196_86.7793
SRR918431,Contig_69_66.3711
SRR918480,Contig_164_14.2536
SRR918480,Contig_454_12.2378
SRR918539,Contig_238_70.6307
SRR918539,Contig_113_41.0309
SRR918539,Contig_167_84.0608
SRR918539,Contig_214_79.5285
SRR918539,Contig_130_68.5254
SRR918539,Contig_278_82.2652
SRR918539,Contig_88_33.5309
SRR918539,Contig_176_75.6803
SRR918554,Contig_428_26.4529
SRR918554,Contig_413_9.69231
SRR918656,Contig_350_72.2437
SRR918656,Contig_322_71.3388
SRR918656,Contig_86_32.5179
SRR918656,Contig_115_38.8715
SRR918656,Contig_225_71.9382
SRR918656,Contig_199_74.9064
SRR918673,Contig_79_31.8013
SRR918673,Contig_172_70.4312
SRR918673,Contig_38_66.3255
SRR918673,Contig_177_72.5866
SRR918673,Contig_100_32.8745
